@RELATION BOOKKEEPER3TestDataset

@ATTRIBUTE REAL REAL
@ATTRIBUTE #revision REAL
@ATTRIBUTE #fixcommit REAL
@ATTRIBUTE size REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE avgchurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE avgchgsetsize REAL
@ATTRIBUTE buggy {no,yes}

@DATA
4,0,0,215,0,0,0,0,0,0,no
4,1,1,270,2,2,2.00,45,45,45.00,yes
4,2,1,458,2,2,2.00,45,45,45.00,yes
4,1,1,137,1,1,1.00,45,45,45.00,yes
4,4,2,357,1,1,1.00,45,45,45.00,yes
4,2,1,163,0,0,0,0,0,0,no
4,39,23,1243,6,5,3.00,47,45,23.50,yes
4,0,0,51,0,0,0,0,0,0,no
4,4,2,154,3,3,3.00,45,45,45.00,yes
4,0,0,31,0,0,0,0,0,0,no
4,1,0,928,53,53,53.00,4,4,4.00,no
4,0,0,180,0,0,0,0,0,0,no
4,4,2,260,2,2,2.00,45,45,45.00,yes
4,19,11,551,2,2,2.00,45,45,45.00,yes
4,0,0,40,0,0,0,0,0,0,no
4,9,6,367,8,6,4.00,49,45,24.50,yes
4,3,2,388,2,2,2.00,45,45,45.00,yes
4,0,0,51,0,0,0,0,0,0,no
4,7,3,577,0,0,0,0,0,0,yes
4,0,0,31,0,0,0,0,0,0,no
4,0,0,65,0,0,0,0,0,0,no
4,9,3,188,0,0,0.00,2,2,2.00,yes
4,6,4,582,0,0,0,0,0,0,no
4,2,2,158,2,2,2.00,45,45,45.00,yes
4,9,5,50,0,0,0,0,0,0,no
4,0,0,27,0,0,0,0,0,0,no
4,12,7,935,-5,7,-1.67,52,45,17.33,yes
4,0,0,60,0,0,0,0,0,0,no
4,6,3,62,0,0,0,0,0,0,no
4,1,1,87,0,0,0,0,0,0,no
4,1,1,52,0,0,0,0,0,0,no
4,0,0,268,0,0,0,0,0,0,no
4,2,1,163,0,0,0,0,0,0,no
4,1,1,109,0,0,0,0,0,0,no
4,0,0,147,0,0,0,0,0,0,no
4,0,0,58,0,0,0,0,0,0,no
4,0,0,44,0,0,0,0,0,0,no
4,0,0,108,0,0,0,0,0,0,no
4,1,1,139,0,0,0,0,0,0,no
4,5,1,326,0,0,0,0,0,0,no
4,16,11,648,0,0,0,0,0,0,no
4,19,6,778,14,12,7.00,49,45,24.50,yes
4,8,5,314,5,5,2.50,45,41,22.50,yes
4,1,0,55,0,0,0,0,0,0,no
4,4,2,191,0,0,0,0,0,0,no
4,3,1,90,0,0,0,0,0,0,no
4,0,0,273,0,0,0,0,0,0,no
4,6,2,137,0,0,0,0,0,0,no
4,3,1,79,0,0,0,0,0,0,no
4,1,0,82,0,0,0,0,0,0,no
4,0,0,146,0,0,0,0,0,0,no
4,0,0,422,0,0,0,0,0,0,no
4,22,16,978,1,1,1.00,45,45,45.00,yes
4,16,10,467,28,26,14.00,50,45,25.00,yes
4,4,2,189,0,0,0,0,0,0,yes
4,9,7,153,14,14,14.00,5,5,5.00,yes
4,2,1,84,2,2,2.00,45,45,45.00,yes
4,7,6,182,0,0,0,0,0,0,yes
4,16,12,358,3,3,3.00,5,5,5.00,no
4,8,6,126,0,0,0,0,0,0,no
4,3,3,106,0,0,0,0,0,0,yes
4,3,1,109,0,0,0,0,0,0,no
4,0,0,85,0,0,0,0,0,0,no
4,7,3,236,0,0,0,0,0,0,no
4,9,6,314,1,1,0.50,86,45,43.00,yes
4,16,9,697,1,2,0.25,94,45,23.50,yes
4,0,0,27,0,0,0,0,0,0,no
4,1,1,89,0,0,0,0,0,0,no
4,12,5,301,0,0,0.00,41,41,41.00,yes
4,7,3,153,0,0,0,0,0,0,yes
