@RELATION BOOKKEEPER4TestDataset

@ATTRIBUTE REAL REAL
@ATTRIBUTE #revision REAL
@ATTRIBUTE #fixcommit REAL
@ATTRIBUTE size REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE avgchurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE avgchgsetsize REAL
@ATTRIBUTE buggy {no,yes}

@DATA
5,1,0,215,0,0,0.00,16,16,16.00,no
5,1,1,270,0,0,0,0,0,0,yes
5,2,1,458,0,0,0,0,0,0,yes
5,1,1,137,0,0,0,0,0,0,yes
5,4,2,357,0,0,0,0,0,0,yes
5,2,1,163,0,0,0,0,0,0,no
5,47,27,1243,-94,12,-11.75,62,17,7.75,yes
5,0,0,51,0,0,0,0,0,0,no
5,4,2,154,0,0,0,0,0,0,yes
5,0,0,31,0,0,0,0,0,0,no
5,4,1,934,28,22,9.33,18,14,6.00,yes
5,1,0,180,13,13,13.00,7,7,7.00,no
5,4,2,260,0,0,0,0,0,0,yes
5,21,11,584,85,90,42.50,25,14,12.50,yes
5,0,0,40,0,0,0,0,0,0,no
5,10,6,372,5,5,5.00,14,14,14.00,yes
5,3,2,388,0,0,0,0,0,0,yes
5,0,0,51,0,0,0,0,0,0,no
5,10,3,609,2,2,0.67,37,14,12.33,yes
5,0,0,31,0,0,0,0,0,0,no
5,0,0,65,0,0,0,0,0,0,no
5,11,3,180,72,71,36.00,25,14,12.50,yes
5,11,5,587,14,7,2.80,48,14,9.60,no
5,4,3,164,38,32,19.00,11,7,5.50,yes
5,9,5,50,0,0,0,0,0,0,no
5,0,0,27,0,0,0,0,0,0,no
5,15,9,938,3,2,1.00,17,12,5.67,yes
5,0,0,60,0,0,0,0,0,0,no
5,6,3,62,0,0,0,0,0,0,no
5,1,1,87,0,0,0,0,0,0,no
5,1,1,52,0,0,0,0,0,0,no
5,3,1,270,29,26,9.67,17,11,5.67,no
5,2,1,163,0,0,0,0,0,0,no
5,2,1,109,9,9,9.00,14,14,14.00,no
5,0,0,147,0,0,0,0,0,0,no
5,0,0,58,0,0,0,0,0,0,no
5,0,0,44,0,0,0,0,0,0,no
5,1,1,108,0,0,0.00,10,10,10.00,no
5,2,1,151,12,12,12.00,4,4,4.00,no
5,6,2,352,26,26,26.00,8,8,8.00,no
5,20,12,715,104,64,26.00,52,24,13.00,no
5,22,8,876,85,63,28.33,20,13,6.67,yes
5,10,6,356,0,31,0.00,37,24,18.50,yes
5,1,1,27,27,27,27.00,13,13,13.00,no
5,1,0,55,0,0,0,0,0,0,no
5,4,2,191,0,0,0,0,0,0,no
5,3,1,90,0,0,0,0,0,0,no
5,1,1,271,-2,0,-2.00,3,3,3.00,no
5,7,2,137,1,1,1.00,24,24,24.00,no
5,3,1,79,0,0,0,0,0,0,no
5,1,0,82,0,0,0,0,0,0,no
5,0,0,146,0,0,0,0,0,0,no
5,0,0,422,0,0,0,0,0,0,no
5,27,19,1030,47,22,9.40,49,24,9.80,yes
5,19,12,529,35,29,11.67,27,17,9.00,yes
5,4,2,189,0,0,0,0,0,0,yes
5,10,8,167,0,0,0.00,8,8,8.00,yes
5,2,1,84,0,0,0,0,0,0,yes
5,9,7,195,13,8,6.50,18,12,9.00,yes
5,18,12,374,13,11,6.50,14,12,7.00,no
5,8,6,126,0,0,0,0,0,0,no
5,4,3,106,0,0,0.00,12,12,12.00,yes
5,3,1,109,0,0,0,0,0,0,no
5,0,0,85,0,0,0,0,0,0,no
5,8,3,236,1,1,1.00,24,24,24.00,no
5,10,6,314,30,30,30.00,24,24,24.00,yes
5,18,9,813,86,61,43.00,24,17,12.00,yes
5,0,0,27,0,0,0,0,0,0,no
5,1,1,89,0,0,0,0,0,0,no
5,14,7,300,-1,1,-0.50,14,10,7.00,yes
5,10,6,166,13,13,4.33,24,10,8.00,yes
5,0,0,92,0,0,0,0,0,0,no
5,15,10,492,31,21,6.20,44,16,8.80,yes
5,0,0,93,0,0,0,0,0,0,no
5,6,0,244,0,0,0,0,0,0,no
5,4,2,183,-9,0,-9.00,10,10,10.00,yes
5,6,1,250,0,0,0,0,0,0,yes
5,0,0,109,0,0,0,0,0,0,yes
5,3,2,602,6,5,2.00,32,16,10.67,yes
5,3,2,565,0,2,0.00,23,17,11.50,yes
5,0,0,69,0,0,0,0,0,0,no
5,0,0,77,0,0,0,0,0,0,no
5,1,1,97,3,3,3.00,10,10,10.00,no
5,1,0,337,6,6,6.00,16,16,16.00,no
5,0,0,214,0,0,0,0,0,0,no
5,0,0,79,0,0,0,0,0,0,no
5,0,0,25,0,0,0,0,0,0,no
5,0,0,84,0,0,0,0,0,0,no
5,0,0,34,0,0,0,0,0,0,no
5,0,0,33,0,0,0,0,0,0,no
5,0,0,104,0,0,0,0,0,0,no
5,0,0,172,0,0,0,0,0,0,no
5,0,0,70,0,0,0,0,0,0,no
5,0,0,140,0,0,0,0,0,0,no
5,1,1,154,0,0,0,0,0,0,yes
5,0,0,356,0,0,0,0,0,0,no
5,1,1,248,0,0,0,0,0,0,no
5,8,6,276,9,8,4.50,28,16,14.00,yes
5,6,3,176,0,0,0,0,0,0,no
5,26,15,637,7,5,1.40,37,17,7.40,yes
5,3,2,86,0,0,0,0,0,0,yes
5,1,1,53,0,0,0,0,0,0,yes
5,1,0,132,0,0,0,0,0,0,yes
5,0,0,4088,0,0,0,0,0,0,no
5,7,1,577,0,0,0,0,0,0,no
5,24,17,758,30,16,7.50,20,12,5.00,yes
5,2,2,101,0,0,0,0,0,0,yes
5,4,4,515,7,17,3.50,21,13,10.50,yes
5,2,2,327,-1,0,-1.00,13,13,13.00,yes
5,2,1,273,1,1,0.50,24,13,12.00,yes
5,0,0,136,0,0,0,0,0,0,yes
5,0,0,56,0,0,0,0,0,0,no
5,0,0,74,0,0,0,0,0,0,yes
5,4,3,359,2,3,0.67,26,13,8.67,yes
5,0,0,174,0,0,0,0,0,0,no
5,0,0,148,0,0,0,0,0,0,no
5,1,0,92,0,0,0,0,0,0,no
5,0,0,45,0,0,0,0,0,0,no
5,0,0,168,0,0,0,0,0,0,no
5,0,0,77,0,0,0,0,0,0,no
5,1,1,665,0,0,0,0,0,0,yes
5,1,0,88,0,0,0,0,0,0,no
5,8,4,261,1,1,1.00,17,17,17.00,yes
5,0,0,54,0,0,0,0,0,0,no
5,2,2,51,3,3,3.00,4,4,4.00,no
5,3,2,140,20,20,20.00,16,16,16.00,no
5,0,0,152,0,0,0,0,0,0,no
5,0,0,39,0,0,0,0,0,0,no
5,0,0,131,0,0,0,0,0,0,no
5,0,0,47,0,0,0,0,0,0,no
5,2,1,129,0,0,0,0,0,0,no
5,0,0,43,0,0,0,0,0,0,no
5,5,2,257,14,14,14.00,6,6,6.00,yes
5,0,0,62,0,0,0,0,0,0,no
5,0,0,45,0,0,0,0,0,0,no
5,1,1,94,0,0,0,0,0,0,yes
5,1,0,34,4,4,4.00,14,14,14.00,no
5,4,3,352,117,48,39.00,12,4,4.00,yes
5,3,2,585,0,0,0,0,0,0,no
5,2,1,122,71,71,35.50,10,7,5.00,yes
5,3,0,437,2,2,2.00,14,14,14.00,yes
5,3,1,355,0,0,0,0,0,0,yes
5,0,0,101,0,0,0,0,0,0,no
5,10,6,226,0,0,0,0,0,0,no
5,1,0,153,0,0,0.00,4,4,4.00,no
5,8,4,505,76,76,76.00,3,3,3.00,yes
5,0,0,80,0,0,0,0,0,0,no
5,3,2,268,0,0,0,0,0,0,no
5,5,2,241,20,20,20.00,4,4,4.00,no
