@RELATION OPENJPA2TestDataset

@ATTRIBUTE versionname REAL
@ATTRIBUTE #revision REAL
@ATTRIBUTE #fixcommit REAL
@ATTRIBUTE size REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE avgchurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE avgchgsetsize REAL
@ATTRIBUTE buggy {no,yes}
@DATA
3,0,0,76,0,0,0,0,0,0,no
3,0,0,72,0,0,0,0,0,0,no
3,0,0,197,0,0,0,0,0,0,no
3,0,0,170,0,0,0,0,0,0,no
3,0,0,120,0,0,0,0,0,0,no
3,0,0,65,0,0,0,0,0,0,no
3,0,0,103,0,0,0,0,0,0,no
3,0,0,96,0,0,0,0,0,0,no
3,2,0,219,3,3,1,2,1,1,no
3,0,0,312,0,0,0,0,0,0,no
3,1,0,151,1,1,1,1,1,1,no
3,0,0,53,0,0,0,0,0,0,no
3,0,0,605,0,0,0,0,0,0,no
3,2,1,886,-34,0,-17,20,19,10,no
3,0,0,51,0,0,0,0,0,0,no
3,0,0,61,0,0,0,0,0,0,no
3,0,0,162,0,0,0,0,0,0,no
3,0,0,68,0,0,0,0,0,0,no
3,0,0,138,0,0,0,0,0,0,no
3,1,1,218,1,1,1,1,1,1,no
3,0,0,369,0,0,0,0,0,0,no
3,0,0,262,0,0,0,0,0,0,no
3,0,0,35,0,0,0,0,0,0,no
3,0,0,545,0,0,0,0,0,0,no
3,0,0,263,0,0,0,0,0,0,yes
3,0,0,45,0,0,0,0,0,0,no
3,0,0,129,0,0,0,0,0,0,no
3,0,0,61,0,0,0,0,0,0,no
3,0,0,172,0,0,0,0,0,0,no
3,0,0,210,0,0,0,0,0,0,yes
3,0,0,348,0,0,0,0,0,0,yes
3,0,0,49,0,0,0,0,0,0,no
3,0,0,41,0,0,0,0,0,0,no
3,0,0,97,0,0,0,0,0,0,no
3,0,0,1387,0,0,0,0,0,0,no
3,0,0,653,0,0,0,0,0,0,yes
3,0,0,46,0,0,0,0,0,0,no
3,0,0,458,0,0,0,0,0,0,no
3,0,0,371,0,0,0,0,0,0,no
3,0,0,221,0,0,0,0,0,0,no
3,0,0,460,0,0,0,0,0,0,no
3,0,0,171,0,0,0,0,0,0,no
3,0,0,47,0,0,0,0,0,0,no
3,1,0,131,4,4,4,42,42,42,no
3,0,0,80,0,0,0,0,0,0,no
3,0,0,131,0,0,0,0,0,0,no
3,1,1,318,5,5,5,1,1,1,no
3,0,0,159,0,0,0,0,0,0,no
3,3,2,657,44,44,14,21,15,7,yes
3,0,0,43,0,0,0,0,0,0,no
3,0,0,203,0,0,0,0,0,0,no
3,0,0,55,0,0,0,0,0,0,no
3,0,0,85,0,0,0,0,0,0,no
3,0,0,166,0,0,0,0,0,0,no
3,0,0,37,0,0,0,0,0,0,no
3,0,0,84,0,0,0,0,0,0,no
3,0,0,37,0,0,0,0,0,0,no
3,0,0,197,0,0,0,0,0,0,no
3,0,0,44,0,0,0,0,0,0,no
3,0,0,49,0,0,0,0,0,0,no
3,0,0,73,0,0,0,0,0,0,no
3,0,0,75,0,0,0,0,0,0,no
3,0,0,131,0,0,0,0,0,0,no
3,0,0,94,0,0,0,0,0,0,no
3,0,0,149,0,0,0,0,0,0,no
3,0,0,193,0,0,0,0,0,0,no
3,0,0,109,0,0,0,0,0,0,no
3,0,0,70,0,0,0,0,0,0,no
3,0,0,220,0,0,0,0,0,0,no
3,0,0,63,0,0,0,0,0,0,no
3,0,0,46,0,0,0,0,0,0,no
3,0,0,55,0,0,0,0,0,0,no
3,0,0,70,0,0,0,0,0,0,no
3,0,0,43,0,0,0,0,0,0,no
3,0,0,51,0,0,0,0,0,0,no
3,0,0,207,0,0,0,0,0,0,no
3,0,0,78,0,0,0,0,0,0,no
3,0,0,59,0,0,0,0,0,0,no
3,0,0,56,0,0,0,0,0,0,no
3,0,0,44,0,0,0,0,0,0,no
3,0,0,224,0,0,0,0,0,0,no
3,0,0,119,0,0,0,0,0,0,no
3,0,0,113,0,0,0,0,0,0,no
3,0,0,83,0,0,0,0,0,0,no
3,0,0,210,0,0,0,0,0,0,no
3,0,0,176,0,0,0,0,0,0,no
3,0,0,47,0,0,0,0,0,0,no
3,0,0,224,0,0,0,0,0,0,no
3,0,0,47,0,0,0,0,0,0,no
3,0,0,93,0,0,0,0,0,0,no
3,0,0,47,0,0,0,0,0,0,no
3,0,0,145,0,0,0,0,0,0,no
3,0,0,168,0,0,0,0,0,0,no
3,0,0,65,0,0,0,0,0,0,no
3,0,0,65,0,0,0,0,0,0,no
3,0,0,45,0,0,0,0,0,0,no
3,1,0,399,2,2,2,27,27,27,no
3,0,0,47,0,0,0,0,0,0,no
3,0,0,32,0,0,0,0,0,0,no
3,0,0,56,0,0,0,0,0,0,no
3,0,0,61,0,0,0,0,0,0,no
3,0,0,104,0,0,0,0,0,0,no
3,0,0,155,0,0,0,0,0,0,no
3,0,0,146,0,0,0,0,0,0,no
3,0,0,44,0,0,0,0,0,0,no
3,0,0,44,0,0,0,0,0,0,no
3,0,0,95,0,0,0,0,0,0,no
