Dataset;#Training;Classifier;%training;%defective in training;%defective in testing;Feature Selection;Balancing;Precision;Recall;F1;AUPRC;ROC_Area;Kappa
BOOKKEEPER;2;Random Forest;21;40.85;20.273;Yes;UnderSampling;0.75;0.88;0.81;0.90;0.94;0.71
BOOKKEEPER;2;IBK;21;40.85;20.273;No;UnderSampling;0.93;0.99;0.96;0.93;0.97;0.93
BOOKKEEPER;2;IBK;21;40.85;20.273;Yes;UnderSampling;0.79;0.85;0.82;0.74;0.89;0.73
BOOKKEEPER;3;Naive Bayes;38;31.633;22.273;No;No;0.67;0.30;0.41;0.68;0.91;0.32
BOOKKEEPER;3;Naive Bayes;38;31.633;22.273;Yes;No;0.66;0.30;0.41;0.56;0.79;0.32
BOOKKEEPER;3;Random Forest;38;31.633;22.273;No;No;0.86;0.65;0.74;0.84;0.95;0.68
BOOKKEEPER;3;Random Forest;38;31.633;22.273;Yes;No;0.87;0.72;0.79;0.86;0.96;0.73
BOOKKEEPER;3;IBK;38;31.633;22.273;No;No;0.89;0.32;0.47;0.50;0.78;0.40
BOOKKEEPER;3;IBK;38;31.633;22.273;Yes;No;0.84;0.49;0.62;0.59;0.83;0.55
BOOKKEEPER;3;Naive Bayes;38;31.633;22.273;No;SMOTE;0.63;0.32;0.42;0.64;0.91;0.32
BOOKKEEPER;3;Naive Bayes;38;31.633;22.273;Yes;SMOTE;0.59;0.34;0.43;0.54;0.79;0.32
BOOKKEEPER;3;Random Forest;38;31.633;22.273;No;SMOTE;0.88;0.79;0.83;0.88;0.96;0.78
BOOKKEEPER;3;Random Forest;38;31.633;22.273;Yes;SMOTE;0.87;0.83;0.85;0.87;0.96;0.81
BOOKKEEPER;3;IBK;38;31.633;22.273;No;SMOTE;0.87;0.83;0.85;0.78;0.93;0.81
BOOKKEEPER;3;IBK;38;31.633;22.273;Yes;SMOTE;0.85;0.79;0.82;0.75;0.91;0.77
BOOKKEEPER;3;Naive Bayes;38;31.633;22.273;No;OverSampling;0.75;0.42;0.54;0.69;0.83;0.40
BOOKKEEPER;3;Naive Bayes;38;31.633;22.273;Yes;OverSampling;0.72;0.42;0.53;0.60;0.76;0.40
BOOKKEEPER;3;Random Forest;38;31.633;22.273;No;OverSampling;0.85;0.97;0.90;0.97;0.99;0.85
BOOKKEEPER;3;Random Forest;38;31.633;22.273;Yes;OverSampling;0.81;0.95;0.88;0.94;0.98;0.82
BOOKKEEPER;3;IBK;38;31.633;22.273;No;OverSampling;0.86;0.96;0.91;0.87;0.96;0.86
BOOKKEEPER;3;IBK;38;31.633;22.273;Yes;OverSampling;0.81;0.92;0.86;0.82;0.94;0.80
BOOKKEEPER;3;Naive Bayes;38;31.633;22.273;No;UnderSampling;0.76;0.41;0.53;0.69;0.83;0.40
BOOKKEEPER;3;Naive Bayes;38;31.633;22.273;Yes;UnderSampling;0.72;0.41;0.53;0.61;0.76;0.40
BOOKKEEPER;3;Random Forest;38;31.633;22.273;No;UnderSampling;0.75;0.98;0.85;0.95;0.98;0.77
BOOKKEEPER;3;Random Forest;38;31.633;22.273;Yes;UnderSampling;0.72;0.97;0.83;0.90;0.97;0.74
BOOKKEEPER;3;IBK;38;31.633;22.273;No;UnderSampling;0.75;0.98;0.85;0.75;0.92;0.77
BOOKKEEPER;3;IBK;38;31.633;22.273;Yes;UnderSampling;0.73;0.97;0.83;0.73;0.92;0.75
BOOKKEEPER;4;Naive Bayes;55;28.732;24.439;No;No;0.73;0.30;0.43;0.62;0.85;0.33
BOOKKEEPER;4;Naive Bayes;55;28.732;24.439;Yes;No;0.74;0.31;0.44;0.58;0.76;0.34
BOOKKEEPER;4;Random Forest;55;28.732;24.439;No;No;0.65;0.47;0.55;0.60;0.85;0.43
BOOKKEEPER;4;Random Forest;55;28.732;24.439;Yes;No;0.68;0.54;0.60;0.64;0.86;0.49
BOOKKEEPER;4;IBK;55;28.732;24.439;No;No;0.71;0.31;0.43;0.46;0.76;0.33
BOOKKEEPER;4;IBK;55;28.732;24.439;Yes;No;0.71;0.39;0.50;0.52;0.79;0.40
BOOKKEEPER;4;Naive Bayes;55;28.732;24.439;No;SMOTE;0.73;0.32;0.45;0.61;0.84;0.35
BOOKKEEPER;4;Naive Bayes;55;28.732;24.439;Yes;SMOTE;0.73;0.33;0.46;0.58;0.77;0.36
BOOKKEEPER;4;Random Forest;55;28.732;24.439;No;SMOTE;0.63;0.46;0.53;0.59;0.84;0.41
BOOKKEEPER;4;Random Forest;55;28.732;24.439;Yes;SMOTE;0.68;0.57;0.62;0.64;0.86;0.51
BOOKKEEPER;4;IBK;55;28.732;24.439;No;SMOTE;0.71;0.31;0.43;0.46;0.76;0.33
BOOKKEEPER;4;IBK;55;28.732;24.439;Yes;SMOTE;0.69;0.40;0.51;0.51;0.79;0.40
