@RELATION OPENJPA7TestDataset

@ATTRIBUTE REAL REAL
@ATTRIBUTE #revision REAL
@ATTRIBUTE #fixcommit REAL
@ATTRIBUTE size REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE avgchurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE avgchgsetsize REAL
@ATTRIBUTE buggy {no,yes}

@DATA
8,4,1,76,0,0,0,0,0,0,no
8,3,0,72,0,0,0,0,0,0,no
8,0,0,197,0,0,0,0,0,0,no
8,1,1,170,0,0,0,0,0,0,no
8,0,0,120,0,0,0,0,0,0,no
8,8,4,243,0,0,0.00,73,73,73.00,no
8,6,2,312,0,0,0.00,73,73,73.00,no
8,3,1,152,7,7,7.00,1,1,1.00,no
8,1,0,53,0,0,0,0,0,0,no
8,5,0,626,-21,0,-21.00,61,61,61.00,no
8,17,5,884,4,13,1.33,81,61,27.00,no
8,7,0,51,8,8,8.00,13,13,13.00,no
8,1,0,61,0,0,0,0,0,0,no
8,3,0,162,0,0,0,0,0,0,no
8,5,2,68,0,0,0.00,73,73,73.00,no
8,1,0,86,-86,0,-86.00,61,61,61.00,no
8,3,0,146,0,0,0,0,0,0,no
8,9,4,214,0,0,0,0,0,0,no
8,10,2,363,70,47,23.33,27,12,9.00,no
8,0,0,72,0,0,0,0,0,0,no
8,0,0,74,0,0,0,0,0,0,no
8,1,1,327,0,0,0.00,5,5,5.00,no
8,6,0,265,0,0,0,0,0,0,no
8,1,0,35,0,0,0,0,0,0,no
8,5,0,545,8,5,1.60,36,12,7.20,no
8,6,2,297,0,0,0,0,0,0,no
8,1,0,45,0,0,0,0,0,0,no
8,1,0,129,0,0,0,0,0,0,no
8,1,0,61,0,0,0,0,0,0,no
8,0,0,65,0,0,0,0,0,0,no
8,6,0,161,0,0,0,0,0,0,no
8,6,2,244,0,0,0,0,0,0,no
8,9,2,382,0,0,0,0,0,0,no
8,1,0,49,0,0,0,0,0,0,no
8,1,0,41,0,0,0,0,0,0,no
8,3,0,97,0,0,0,0,0,0,no
8,30,8,1687,-125,51,-9.62,141,61,10.85,no
8,20,9,957,4,7,1.00,39,19,9.75,no
8,1,0,46,0,0,0,0,0,0,no
8,2,0,465,0,0,0,0,0,0,no
8,10,2,383,25,21,8.33,33,19,11.00,no
8,4,0,221,0,0,0,0,0,0,no
8,5,2,460,0,0,0,0,0,0,no
8,7,0,213,-15,1,-5.00,80,32,26.67,no
8,1,0,47,0,0,0,0,0,0,no
8,13,4,162,98,74,19.60,23,12,4.60,no
8,3,1,82,0,0,0,0,0,0,no
8,1,0,131,0,0,0,0,0,0,no
8,15,2,395,14,18,2.33,45,19,7.50,no
8,2,0,159,0,0,0.00,10,10,10.00,no
8,18,5,898,4,4,2.00,22,19,11.00,no
8,1,0,43,0,0,0,0,0,0,no
8,3,0,206,0,0,0,0,0,0,no
8,3,1,59,0,0,0,0,0,0,no
8,7,1,89,24,14,8.00,64,24,21.33,no
8,3,0,166,1,1,1.00,24,24,24.00,no
8,2,1,37,0,0,0,0,0,0,no
8,2,0,84,0,0,0,0,0,0,no
8,2,1,37,0,0,0,0,0,0,no
8,3,1,201,0,0,0,0,0,0,no
8,1,0,44,0,0,0,0,0,0,no
8,3,0,49,0,0,0,0,0,0,no
8,2,0,73,0,0,0,0,0,0,no
8,2,0,75,0,0,0,0,0,0,no
8,3,0,131,0,0,0,0,0,0,no
8,3,0,94,1,1,1.00,24,24,24.00,no
8,4,1,161,0,0,0.00,24,24,24.00,no
8,4,0,193,0,0,0.00,24,24,24.00,no
8,4,0,109,0,0,0,0,0,0,no
8,2,0,70,0,0,0,0,0,0,no
