@RELATION OPENJPA9TestDataset

@ATTRIBUTE REAL REAL
@ATTRIBUTE #revision REAL
@ATTRIBUTE #fixcommit REAL
@ATTRIBUTE size REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE avgchurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE avgchgsetsize REAL
@ATTRIBUTE buggy {no,yes}

@DATA
10,0,0,56,0,0,0,0,0,0,no
10,0,0,45,0,0,0,0,0,0,no
10,0,0,45,0,0,0,0,0,0,no
10,0,0,97,0,0,0,0,0,0,no
10,0,0,43,0,0,0,0,0,0,no
10,0,0,76,0,0,0,0,0,0,no
10,6,1,77,0,0,0,0,0,0,no
10,3,0,72,0,0,0,0,0,0,no
10,0,0,197,0,0,0,0,0,0,no
10,1,1,170,0,0,0,0,0,0,no
10,0,0,120,0,0,0,0,0,0,no
10,0,0,95,0,0,0,0,0,0,no
10,0,0,121,0,0,0,0,0,0,no
10,0,0,116,0,0,0,0,0,0,no
10,0,0,103,0,0,0,0,0,0,no
10,0,0,134,0,0,0,0,0,0,no
10,0,0,117,0,0,0,0,0,0,no
10,0,0,138,0,0,0,0,0,0,no
10,0,0,101,0,0,0,0,0,0,no
10,0,0,116,0,0,0,0,0,0,no
10,0,0,104,0,0,0,0,0,0,no
10,0,0,126,0,0,0,0,0,0,no
10,0,0,56,0,0,0,0,0,0,no
10,0,0,52,0,0,0,0,0,0,no
10,0,0,43,0,0,0,0,0,0,no
10,0,0,30,0,0,0,0,0,0,no
10,0,0,36,0,0,0,0,0,0,no
10,0,0,76,0,0,0,0,0,0,no
10,0,0,65,0,0,0,0,0,0,no
10,0,0,96,0,0,0,0,0,0,no
10,0,0,104,0,0,0,0,0,0,yes
10,0,0,1292,0,0,0,0,0,0,no
10,0,0,99,0,0,0,0,0,0,no
10,1,0,247,1,1,1.00,37,37,37.00,no
10,0,0,644,0,0,0,0,0,0,no
10,0,0,22,0,0,0,0,0,0,no
10,0,0,22,0,0,0,0,0,0,no
10,0,0,39,0,0,0,0,0,0,no
10,0,0,31,0,0,0,0,0,0,no
10,8,4,243,0,0,0,0,0,0,no
10,6,2,312,0,0,0,0,0,0,no
10,3,1,159,0,0,0,0,0,0,no
10,1,0,53,0,0,0,0,0,0,no
10,6,0,605,21,21,21.00,156,156,156.00,no
10,22,6,890,39,27,13.00,159,156,53.00,no
10,9,0,69,18,18,18.00,12,12,12.00,no
10,1,0,61,0,0,0,0,0,0,no
10,3,0,162,0,0,0,0,0,0,no
10,5,2,68,0,0,0,0,0,0,no
10,3,0,146,0,0,0,0,0,0,no
10,11,5,215,0,0,0,0,0,0,no
10,12,3,437,0,0,0,0,0,0,no
10,1,0,72,0,0,0,0,0,0,no
10,0,0,74,0,0,0,0,0,0,no
10,2,1,327,0,0,0,0,0,0,no
10,7,0,265,0,0,0.00,156,156,156.00,no
10,1,0,35,0,0,0,0,0,0,no
10,8,1,555,0,0,0,0,0,0,no
10,6,2,297,0,0,0,0,0,0,no
10,1,0,45,0,0,0,0,0,0,no
10,0,0,420,0,0,0,0,0,0,no
10,0,0,181,0,0,0,0,0,0,no
10,2,1,129,-1,0,-1.00,8,8,8.00,no
10,1,0,61,0,0,0,0,0,0,no
10,0,0,65,0,0,0,0,0,0,no
10,11,0,161,0,0,0,0,0,0,no
10,7,2,244,0,0,0.00,16,16,16.00,no
10,11,2,425,23,23,23.00,16,16,16.00,no
10,2,0,49,5,5,5.00,16,16,16.00,no
10,1,0,41,0,0,0,0,0,0,no
10,4,1,107,0,0,0,0,0,0,no
10,43,16,1637,-1,0,-0.50,12,8,6.00,no
10,25,11,1069,0,0,0.00,65,65,65.00,no
10,1,0,46,0,0,0,0,0,0,no
10,2,0,465,0,0,0,0,0,0,no
10,3,0,98,38,33,12.67,178,156,59.33,no
10,14,3,408,16,12,8.00,193,156,96.50,no
10,4,0,221,0,0,0,0,0,0,no
10,5,2,460,0,0,0,0,0,0,no
10,9,1,198,11,12,5.50,14,8,7.00,no
10,0,0,57,0,0,0,0,0,0,no
10,0,0,418,0,0,0,0,0,0,no
10,1,1,374,8,8,8.00,3,3,3.00,yes
10,0,0,53,0,0,0,0,0,0,no
10,0,0,163,0,0,0,0,0,0,no
10,1,0,47,0,0,0,0,0,0,no
10,18,5,286,29,29,29.00,156,156,156.00,no
10,3,1,82,0,0,0,0,0,0,no
10,1,0,131,0,0,0,0,0,0,no
10,19,2,407,0,0,0.00,65,65,65.00,no
10,3,1,159,-1,0,-1.00,8,8,8.00,no
10,26,7,931,36,36,12.00,170,156,56.67,no
