@RELATION OPENJPA4TestDataset

@ATTRIBUTE versionname REAL
@ATTRIBUTE #revision REAL
@ATTRIBUTE #fixcommit REAL
@ATTRIBUTE size REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE avgchurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE avgchgsetsize REAL
@ATTRIBUTE buggy {no,yes}
@DATA
5,0,0,76,0,0,0,0,0,0,no
5,0,0,72,0,0,0,0,0,0,no
5,0,0,197,0,0,0,0,0,0,no
5,0,0,170,0,0,0,0,0,0,no
5,0,0,120,0,0,0,0,0,0,no
5,0,0,65,0,0,0,0,0,0,no
5,0,0,103,0,0,0,0,0,0,no
5,0,0,96,0,0,0,0,0,0,no
5,0,0,222,0,0,0,0,0,0,no
5,0,0,312,0,0,0,0,0,0,no
5,0,0,152,0,0,0,0,0,0,no
5,0,0,53,0,0,0,0,0,0,no
5,1,0,605,21,21,21,17,17,17,no
5,3,2,886,26,25,8,22,17,7,no
5,0,0,51,0,0,0,0,0,0,no
5,0,0,61,0,0,0,0,0,0,no
5,0,0,162,0,0,0,0,0,0,no
5,0,0,68,0,0,0,0,0,0,no
5,0,0,138,0,0,0,0,0,0,no
5,1,0,219,-17,0,-17,18,18,18,no
5,1,0,369,0,0,0,1,1,1,no
5,1,0,262,-3,0,-3,12,12,12,no
5,0,0,35,0,0,0,0,0,0,no
5,0,0,545,0,0,0,0,0,0,no
5,1,1,263,34,34,34,8,8,8,yes
5,0,0,45,0,0,0,0,0,0,no
5,0,0,129,0,0,0,0,0,0,no
5,0,0,61,0,0,0,0,0,0,no
5,0,0,172,0,0,0,0,0,0,no
5,1,1,210,34,34,34,8,8,8,yes
5,2,1,348,34,34,17,9,8,4,yes
5,0,0,49,0,0,0,0,0,0,no
5,0,0,41,0,0,0,0,0,0,no
5,0,0,97,0,0,0,0,0,0,no
5,1,0,1387,246,246,246,17,17,17,no
5,1,1,653,4,4,4,8,8,8,yes
5,0,0,46,0,0,0,0,0,0,no
5,0,0,458,0,0,0,0,0,0,no
5,1,0,371,-3,0,-3,12,12,12,no
5,0,0,221,0,0,0,0,0,0,no
5,0,0,460,0,0,0,0,0,0,no
5,0,0,171,0,0,0,0,0,0,no
