@RELATION BOOKKEEPER1TrainingDataset

@ATTRIBUTE REAL REAL
@ATTRIBUTE #revision REAL
@ATTRIBUTE #fixcommit REAL
@ATTRIBUTE size REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE avgchurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE avgchgsetsize REAL
@ATTRIBUTE buggy {no,yes}

@DATA
1,0,0,137,0,0,0,0,0,0,no
1,2,0,244,124,123,62.00,11,8,5.50,no
1,20,11,1026,-262,53,-13.10,187,26,9.35,yes
1,2,1,92,58,53,29.00,46,26,23.00,no
1,0,0,180,0,0,0,0,0,0,no
1,12,7,471,2,59,0.17,98,26,8.17,yes
1,4,3,204,51,20,12.75,27,12,6.75,yes
1,8,4,551,-505,21,-63.13,78,20,9.75,yes
1,5,2,149,-87,30,-17.40,44,12,8.80,yes
1,2,1,157,6,4,3.00,42,26,21.00,yes
1,0,0,147,0,0,0,0,0,0,no
1,1,1,137,2,2,2.00,16,16,16.00,yes
1,1,1,271,11,11,11.00,15,15,15.00,yes
1,6,6,548,34,68,5.67,37,8,6.17,yes
1,4,3,728,72,62,18.00,51,26,12.75,yes
1,3,3,205,11,7,3.67,20,8,6.67,yes
1,1,0,50,5,5,5.00,4,4,4.00,no
1,3,2,185,-1,1,-0.33,54,26,18.00,yes
1,1,1,61,4,4,4.00,12,12,12.00,no
1,2,1,157,-7,0,-3.50,32,26,16.00,yes
1,0,0,81,0,0,0,0,0,0,no
1,0,0,84,0,0,0,0,0,0,no
1,9,6,762,143,65,15.89,89,26,9.89,yes
1,5,3,248,64,44,12.80,51,26,10.20,yes
1,1,1,169,2,2,2.00,15,15,15.00,yes
1,6,5,196,-43,2,-7.17,86,26,14.33,yes
1,1,0,67,17,17,17.00,4,4,4.00,no
1,2,2,165,4,4,2.00,31,16,15.50,yes
1,3,3,173,16,15,5.33,28,15,9.33,yes
1,5,4,103,24,14,4.80,76,26,15.20,yes
1,1,1,78,1,1,1.00,16,16,16.00,yes
1,1,1,87,3,3,3.00,12,12,12.00,no
1,0,0,85,0,0,0,0,0,0,no
1,2,2,105,8,9,4.00,24,16,12.00,yes
1,3,2,216,60,30,20.00,18,7,6.00,yes
1,6,4,377,172,110,28.67,43,14,7.17,yes
1,4,3,253,30,23,7.50,41,26,10.25,yes
1,2,2,193,-18,3,-9.00,13,7,6.50,yes
1,4,4,514,-7,6,-1.75,18,7,4.50,yes
1,1,0,204,5,5,5.00,26,26,26.00,no
1,1,1,144,3,3,3.00,6,6,6.00,no
1,1,0,98,0,0,0.00,26,26,26.00,no
1,3,3,181,46,26,15.33,22,15,7.33,yes
1,3,3,154,18,8,6.00,38,16,12.67,yes
1,9,7,393,114,59,12.67,108,26,12.00,yes
1,0,0,132,0,0,0,0,0,0,no
1,4,0,533,-4,0,-1.00,49,26,12.25,yes
1,10,7,603,91,43,9.10,80,26,8.00,yes
1,0,0,148,0,0,0,0,0,0,no
1,0,0,174,0,0,0,0,0,0,no
1,0,0,148,0,0,0,0,0,0,no
1,1,0,92,0,0,0.00,26,26,26.00,no
1,3,2,234,22,19,7.33,40,26,13.33,yes
1,0,0,54,0,0,0,0,0,0,no
1,0,0,38,0,0,0,0,0,0,no
1,0,0,98,0,0,0,0,0,0,yes
1,0,0,39,0,0,0,0,0,0,no
