@RELATION OPENJPA12TestDataset

@ATTRIBUTE REAL REAL
@ATTRIBUTE #revision REAL
@ATTRIBUTE #fixcommit REAL
@ATTRIBUTE size REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE avgchurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE avgchgsetsize REAL
@ATTRIBUTE buggy {no,yes}

@DATA
13,0,0,56,0,0,0,0,0,0,no
13,0,0,45,0,0,0,0,0,0,no
13,0,0,45,0,0,0,0,0,0,no
13,0,0,97,0,0,0,0,0,0,no
13,0,0,43,0,0,0,0,0,0,no
13,0,0,76,0,0,0,0,0,0,no
13,6,1,77,0,0,0,0,0,0,no
13,3,0,72,0,0,0,0,0,0,no
13,0,0,197,0,0,0,0,0,0,no
13,1,1,170,0,0,0,0,0,0,no
13,0,0,120,0,0,0,0,0,0,no
13,1,0,89,-89,0,-89.00,12,12,12.00,no
13,1,0,72,-72,0,-72.00,12,12,12.00,no
13,1,0,95,-95,0,-95.00,12,12,12.00,no
13,1,0,121,-121,0,-121.00,12,12,12.00,no
13,0,0,36,0,0,0,0,0,0,no
13,0,0,43,0,0,0,0,0,0,no
13,0,0,43,0,0,0,0,0,0,no
13,0,0,234,0,0,0,0,0,0,no
13,0,0,116,0,0,0,0,0,0,no
13,0,0,103,0,0,0,0,0,0,no
13,0,0,103,0,0,0,0,0,0,no
13,0,0,134,0,0,0,0,0,0,no
13,0,0,117,0,0,0,0,0,0,no
13,0,0,138,0,0,0,0,0,0,no
13,0,0,101,0,0,0,0,0,0,no
13,0,0,116,0,0,0,0,0,0,no
13,0,0,104,0,0,0,0,0,0,no
13,0,0,126,0,0,0,0,0,0,no
13,0,0,56,0,0,0,0,0,0,no
13,0,0,52,0,0,0,0,0,0,no
13,0,0,43,0,0,0,0,0,0,no
13,0,0,30,0,0,0,0,0,0,no
13,0,0,36,0,0,0,0,0,0,no
13,0,0,76,0,0,0,0,0,0,no
13,0,0,65,0,0,0,0,0,0,no
13,0,0,96,0,0,0,0,0,0,no
13,0,0,62,0,0,0,0,0,0,no
13,0,0,104,0,0,0,0,0,0,yes
13,0,0,1292,0,0,0,0,0,0,no
13,0,0,99,0,0,0,0,0,0,no
13,0,0,263,0,0,0,0,0,0,no
13,0,0,248,0,0,0,0,0,0,no
13,0,0,644,0,0,0,0,0,0,no
13,0,0,22,0,0,0,0,0,0,no
13,0,0,22,0,0,0,0,0,0,no
13,0,0,39,0,0,0,0,0,0,no
13,0,0,31,0,0,0,0,0,0,no
13,8,4,243,0,0,0,0,0,0,no
13,6,2,312,0,0,0,0,0,0,no
13,3,1,159,0,0,0,0,0,0,no
13,1,0,53,0,0,0,0,0,0,no
13,7,0,626,6,6,6.00,5,5,5.00,no
13,24,8,929,8,4,4.00,2,1,1.00,no
13,9,0,87,0,0,0,0,0,0,no
13,1,0,61,0,0,0,0,0,0,no
13,3,0,162,0,0,0,0,0,0,no
13,5,2,68,0,0,0,0,0,0,no
13,0,0,39,0,0,0,0,0,0,no
13,0,0,911,0,0,0,0,0,0,no
13,0,0,56,0,0,0,0,0,0,no
13,0,0,213,0,0,0,0,0,0,no
13,0,0,484,0,0,0,0,0,0,no
13,0,0,86,0,0,0,0,0,0,no
13,0,0,311,0,0,0,0,0,0,no
13,0,0,359,0,0,0,0,0,0,no
13,3,0,146,0,0,0,0,0,0,no
13,11,5,215,0,0,0,0,0,0,no
13,12,3,437,0,0,0,0,0,0,no
13,1,0,72,0,0,0,0,0,0,no
13,0,0,74,0,0,0,0,0,0,no
13,6,4,327,31,32,7.75,14,9,3.50,no
13,7,0,265,0,0,0,0,0,0,no
13,1,0,35,0,0,0,0,0,0,no
13,8,1,555,0,0,0,0,0,0,no
13,6,2,297,0,0,0,0,0,0,no
13,1,0,45,0,0,0,0,0,0,no
13,1,0,378,0,0,0,0,0,0,no
13,2,0,181,-1,0,-0.50,113,57,56.50,no
13,2,1,128,0,0,0,0,0,0,no
13,1,0,61,0,0,0,0,0,0,no
13,0,0,65,0,0,0,0,0,0,no
13,11,0,161,0,0,0,0,0,0,no
13,7,2,244,0,0,0,0,0,0,no
13,11,2,448,0,0,0,0,0,0,no
13,2,0,54,0,0,0,0,0,0,no
13,1,0,41,0,0,0,0,0,0,no
13,4,1,107,0,0,0,0,0,0,no
13,49,18,1648,74,37,24.67,21,13,7.00,no
13,27,11,1069,-1,0,-0.50,113,57,56.50,no
13,1,0,46,0,0,0,0,0,0,no
13,2,0,465,0,0,0,0,0,0,no
13,0,0,136,0,0,0,0,0,0,no
13,16,3,424,-1,0,-0.50,113,57,56.50,no
13,4,0,221,0,0,0,0,0,0,no
13,5,2,460,0,0,0,0,0,0,no
13,12,4,209,6,4,2.00,39,17,13.00,no
13,0,0,57,0,0,0,0,0,0,no
13,1,1,418,0,0,0.00,1,1,1.00,no
13,5,4,382,58,26,11.60,13,3,2.60,no
13,0,0,53,0,0,0,0,0,0,no
13,0,0,163,0,0,0,0,0,0,no
13,1,0,47,0,0,0,0,0,0,no
13,19,5,307,0,0,0,0,0,0,no
13,3,1,82,0,0,0,0,0,0,no
13,3,0,131,-1,0,-0.50,113,57,56.50,no
13,21,2,407,-1,0,-0.50,113,57,56.50,no
13,3,1,158,0,0,0,0,0,0,no
13,28,7,967,-1,0,-0.50,113,57,56.50,no
13,1,0,43,0,0,0,0,0,0,no
13,4,0,206,0,0,0,0,0,0,no
13,3,1,59,0,0,0,0,0,0,no
13,9,2,122,0,0,0,0,0,0,no
13,3,0,167,0,0,0,0,0,0,no
