@RELATION BOOKKEEPER5TestDataset

@ATTRIBUTE versionname REAL
@ATTRIBUTE #revision REAL
@ATTRIBUTE #fixcommit REAL
@ATTRIBUTE size REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE avgchurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE avgchgsetsize REAL
@ATTRIBUTE buggy {no,yes}
@DATA
6,1,0,42,43,43,43,11,11,11,no
6,0,0,248,0,0,0,0,0,0,no
6,3,2,358,24,9,8,27,13,9,no
6,3,1,199,14,12,4,86,73,28,no
6,1,0,330,0,0,0,73,73,73,no
6,0,0,346,0,0,0,0,0,0,no
6,2,0,89,-219,0,-109,84,73,42,no
6,1,0,193,335,335,335,11,11,11,no
6,4,1,397,9,6,2,99,73,24,no
6,0,0,82,0,0,0,0,0,0,no
6,0,0,53,0,0,0,0,0,0,no
6,1,1,148,16,16,16,12,12,12,yes
6,0,0,4774,0,0,0,0,0,0,no
6,0,0,4088,0,0,0,0,0,0,no
6,0,0,93,0,0,0,0,0,0,no
6,0,0,76,0,0,0,0,0,0,no
6,0,0,72,0,0,0,0,0,0,no
6,4,3,972,139,75,34,29,13,7,yes
6,0,0,37,0,0,0,0,0,0,no
6,0,0,59,0,0,0,0,0,0,no
6,0,0,133,0,0,0,0,0,0,no
6,0,0,164,0,0,0,0,0,0,no
6,0,0,47,0,0,0,0,0,0,no
6,0,0,101,0,0,0,0,0,0,no
6,0,0,99,0,0,0,0,0,0,no
6,0,0,151,0,0,0,0,0,0,no
6,0,0,556,0,0,0,0,0,0,yes
6,0,0,386,0,0,0,0,0,0,yes
6,1,0,296,1,1,1,11,11,11,yes
6,1,1,135,0,0,0,12,12,12,yes
6,0,0,56,0,0,0,0,0,0,no
6,0,0,78,0,0,0,0,0,0,yes
6,0,0,35,0,0,0,0,0,0,no
6,2,0,465,1,1,0,84,73,42,yes
6,1,0,174,0,0,0,73,73,73,no
6,1,0,148,0,0,0,73,73,73,no
6,1,0,88,0,0,0,73,73,73,no
6,0,0,45,0,0,0,0,0,0,no
6,1,0,39,39,39,39,25,25,25,no
6,1,0,208,14,14,14,13,13,13,no
6,1,0,77,0,0,0,73,73,73,no
6,0,0,667,0,0,0,0,0,0,no
6,0,0,104,0,0,0,0,0,0,no
6,0,0,263,0,0,0,0,0,0,no
6,0,0,54,0,0,0,0,0,0,no
6,1,0,76,25,25,25,25,25,25,no
6,1,0,119,0,0,0,73,73,73,no
6,0,0,200,0,0,0,0,0,0,no
6,0,0,152,0,0,0,0,0,0,no
6,0,0,39,0,0,0,0,0,0,no
6,0,0,677,0,0,0,0,0,0,no
6,0,0,131,0,0,0,0,0,0,no
6,0,0,47,0,0,0,0,0,0,no
6,0,0,100,0,0,0,0,0,0,no
6,0,0,43,0,0,0,0,0,0,no
6,1,0,73,73,73,73,14,14,14,no
6,0,0,257,0,0,0,0,0,0,no
6,0,0,62,0,0,0,0,0,0,no
6,0,0,45,0,0,0,0,0,0,no
6,0,0,41,0,0,0,0,0,0,no
6,0,0,47,0,0,0,0,0,0,no
6,0,0,55,0,0,0,0,0,0,no
6,0,0,1046,0,0,0,0,0,0,no
6,0,0,133,0,0,0,0,0,0,no
6,0,0,147,0,0,0,0,0,0,no
6,0,0,39,0,0,0,0,0,0,no
6,4,0,429,26,24,6,62,25,15,yes
6,3,0,766,-10,1,-3,108,73,36,no
6,1,1,144,71,71,71,3,3,3,no
6,1,0,84,84,84,84,11,11,11,no
6,8,3,564,263,168,32,142,73,17,yes
6,1,0,482,4,4,4,25,25,25,yes
6,2,0,102,0,0,0,38,25,19,no
6,3,0,223,0,0,0,111,73,37,no
6,1,0,153,0,0,0,73,73,73,no
6,4,0,455,2,3,0,121,73,30,no
6,3,0,80,0,0,0,111,73,37,no
6,3,0,353,12,8,4,97,73,32,yes
6,0,0,216,0,0,0,0,0,0,no
6,3,0,264,-4,1,-1,108,73,36,no
6,0,0,552,0,0,0,0,0,0,no
6,1,0,243,0,0,0,73,73,73,no
6,0,0,71,0,0,0,0,0,0,no
6,1,0,996,0,0,0,73,73,73,no
6,1,0,232,0,0,0,73,73,73,no
6,0,0,40,0,0,0,0,0,0,no
6,3,2,229,29,28,9,89,73,29,yes
6,0,0,32,0,0,0,0,0,0,no
6,1,0,422,0,0,0,73,73,73,no
6,1,0,111,0,0,0,73,73,73,no
6,1,0,63,0,0,0,73,73,73,no
6,4,2,211,3,2,0,100,73,25,no
6,1,0,393,0,0,0,73,73,73,no
6,1,0,464,0,0,0,73,73,73,no
6,1,0,342,0,0,0,73,73,73,no
6,0,0,286,0,0,0,0,0,0,no
6,2,1,93,1,1,0,85,73,42,no
6,2,1,341,1,1,0,85,73,42,no
6,0,0,188,0,0,0,0,0,0,no
6,1,1,148,71,71,71,12,12,12,yes
6,1,0,35,32,32,32,1,1,1,yes
6,0,0,274,0,0,0,0,0,0,no
6,0,0,150,0,0,0,0,0,0,no
6,0,0,45,0,0,0,0,0,0,no
6,0,0,89,0,0,0,0,0,0,no
6,1,0,324,0,0,0,73,73,73,no
6,0,0,65,0,0,0,0,0,0,no
6,0,0,59,0,0,0,0,0,0,no
6,0,0,131,0,0,0,0,0,0,no
6,1,0,646,0,0,0,73,73,73,no
6,0,0,43,0,0,0,0,0,0,no
6,1,0,62,0,0,0,73,73,73,no
6,1,0,280,0,0,0,73,73,73,no
6,1,0,287,0,0,0,73,73,73,no
6,1,0,403,0,0,0,73,73,73,yes
6,0,0,124,0,0,0,0,0,0,yes
6,1,0,340,-4,0,-4,10,10,10,yes
6,0,0,75,0,0,0,0,0,0,yes
6,0,0,109,0,0,0,0,0,0,no
6,0,0,627,0,0,0,0,0,0,yes
6,1,0,232,0,0,0,73,73,73,no
6,0,0,59,0,0,0,0,0,0,no
6,0,0,101,0,0,0,0,0,0,no
6,1,0,763,1,1,1,25,25,25,no
6,0,0,604,0,0,0,0,0,0,no
6,1,0,260,0,0,0,73,73,73,no
6,0,0,49,0,0,0,0,0,0,no
6,2,1,566,-1,0,0,29,25,14,yes
6,2,0,246,1,1,0,98,73,49,no
6,1,0,402,0,0,0,73,73,73,no
6,2,0,275,-3,0,-1,98,73,49,no
6,2,0,1070,4,4,2,84,73,42,no
6,0,0,107,0,0,0,0,0,0,no
6,1,0,100,0,0,0,73,73,73,no
6,2,0,184,1,1,0,98,73,49,no
6,1,0,117,0,0,0,73,73,73,no
6,0,0,67,0,0,0,0,0,0,no
6,0,0,99,0,0,0,0,0,0,no
6,2,0,173,1,1,0,82,73,41,no
6,1,0,119,0,0,0,73,73,73,no
6,0,0,64,0,0,0,0,0,0,no
6,0,0,56,0,0,0,0,0,0,no
6,1,0,308,319,319,319,11,11,11,no
6,0,0,54,0,0,0,0,0,0,no
6,2,0,297,71,70,35,20,11,10,no
6,2,0,831,1,1,0,98,73,49,no
6,0,0,57,0,0,0,0,0,0,yes
6,0,0,167,0,0,0,0,0,0,no
6,0,0,80,0,0,0,0,0,0,no
6,1,0,111,15,15,15,13,13,13,no
6,0,0,52,0,0,0,0,0,0,no
6,0,0,367,0,0,0,0,0,0,no
6,2,1,147,131,127,65,8,6,4,no
6,1,0,68,68,68,68,6,6,6,no
6,1,0,99,99,99,99,6,6,6,no
6,1,0,53,53,53,53,13,13,13,no
6,1,0,81,81,81,81,13,13,13,no
6,1,0,78,78,78,78,13,13,13,no
6,1,0,69,69,69,69,13,13,13,no
6,1,0,69,69,69,69,13,13,13,no
6,1,0,77,77,77,77,13,13,13,no
6,1,0,72,72,72,72,13,13,13,no
6,1,0,72,72,72,72,13,13,13,no
6,1,0,63,63,63,63,13,13,13,no
6,1,0,50,50,50,50,11,11,11,no
6,1,0,28,28,28,28,11,11,11,no
6,1,0,96,96,96,96,11,11,11,no
6,1,0,40,40,40,40,11,11,11,no
