@RELATION OPENJPA13TrainingDataset

@ATTRIBUTE versionname REAL
@ATTRIBUTE #revision REAL
@ATTRIBUTE #fixcommit REAL
@ATTRIBUTE size REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE avgchurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE avgchgsetsize REAL
@ATTRIBUTE buggy {no,yes}
@DATA
1,2,0,411,5,3,2,308,300,154,no
1,3,0,173,3,3,1,330,300,110,no
1,2,0,69,9,6,4,308,300,154,no
1,2,0,82,3,3,1,522,300,261,no
1,1,0,1010,3,3,3,300,300,300,yes
1,2,0,329,4,3,2,306,300,153,yes
1,2,0,244,3,3,1,522,300,261,no
1,1,0,84,3,3,3,300,300,300,no
1,1,0,43,3,3,3,300,300,300,no
1,2,1,69,3,3,1,304,300,152,no
1,1,0,64,3,3,3,300,300,300,no
1,1,0,161,3,3,3,300,300,300,no
1,3,0,86,5,3,1,379,300,126,no
1,1,0,304,3,3,3,300,300,300,no
1,4,0,704,4,3,1,356,300,89,no
1,8,0,1764,23,15,2,367,300,45,yes
1,7,0,1171,15,10,2,404,300,57,no
1,2,0,68,3,3,1,522,300,261,no
1,9,1,1123,5,3,0,352,300,39,yes
1,1,0,139,3,3,3,300,300,300,no
1,2,0,163,4,3,2,339,300,169,no
1,2,0,60,3,3,1,522,300,261,no
1,3,0,227,-1,3,0,355,300,118,no
1,3,0,607,7,3,2,355,300,118,no
1,2,0,135,3,3,1,522,300,261,no
1,2,0,35,3,3,1,522,300,261,no
1,1,0,160,3,3,3,300,300,300,no
1,3,0,2047,-3,3,-1,349,300,116,no
1,2,0,93,3,3,1,522,300,261,no
1,1,0,149,3,3,3,300,300,300,yes
1,3,0,131,5,3,1,561,300,187,no
1,3,0,67,2,3,0,561,300,187,no
1,3,0,99,5,3,1,561,300,187,no
1,3,0,265,4,3,1,561,300,187,no
1,3,0,534,10,7,3,561,300,187,no
1,1,0,318,3,3,3,300,300,300,no
1,1,0,365,3,3,3,300,300,300,no
1,1,0,86,3,3,3,300,300,300,no
1,1,0,74,3,3,3,300,300,300,no
1,1,0,79,3,3,3,300,300,300,no
1,2,0,89,7,4,3,308,300,154,no
1,1,0,173,3,3,3,300,300,300,no
1,1,0,78,3,3,3,300,300,300,no
1,1,0,58,3,3,3,300,300,300,no
1,1,0,67,3,3,3,300,300,300,no
1,1,0,48,3,3,3,300,300,300,no
1,1,0,59,3,3,3,300,300,300,no
1,1,0,80,3,3,3,300,300,300,no
1,1,0,63,3,3,3,300,300,300,no
1,2,0,124,4,3,2,344,300,172,no
1,1,0,48,3,3,3,300,300,300,no
1,2,0,262,3,3,1,306,300,153,no
1,2,0,130,3,3,1,305,300,152,no
1,7,0,1579,7,4,1,613,300,87,no
1,2,0,169,3,3,1,522,300,261,no
1,1,0,92,3,3,3,300,300,300,no
1,2,0,65,3,3,1,306,300,153,no
1,1,0,133,3,3,3,300,300,300,no
1,4,0,401,5,3,1,565,300,141,no
1,2,0,257,3,3,1,522,300,261,no
1,3,0,84,4,3,1,350,300,116,no
1,1,0,95,3,3,3,300,300,300,no
1,3,0,154,17,9,5,315,300,105,no
1,1,0,96,3,3,3,300,300,300,no
1,1,0,149,3,3,3,300,300,300,no
1,2,0,231,1,3,0,341,300,170,no
1,4,0,422,1,3,0,367,300,91,no
1,2,0,174,2,3,1,341,300,170,no
1,2,0,104,3,3,1,522,300,261,no
1,2,0,93,3,3,1,522,300,261,no
1,2,0,110,3,3,1,522,300,261,no
1,2,0,80,3,3,1,522,300,261,no
1,2,0,258,3,3,1,522,300,261,no
1,1,0,86,3,3,3,300,300,300,no
1,1,0,55,3,3,3,300,300,300,no
1,1,0,51,3,3,3,300,300,300,no
1,1,0,52,3,3,3,300,300,300,no
1,1,0,60,3,3,3,300,300,300,no
1,1,0,46,3,3,3,300,300,300,no
1,2,0,81,3,3,1,522,300,261,no
1,3,0,400,4,3,1,562,300,187,no
1,1,0,85,3,3,3,300,300,300,no
1,2,0,94,3,3,1,341,300,170,no
1,2,0,93,3,3,1,341,300,170,no
1,10,0,859,132,107,13,621,300,62,no
1,2,0,167,3,3,1,341,300,170,no
1,2,0,167,3,3,1,341,300,170,no
1,3,1,207,11,8,3,306,300,102,yes
1,6,0,339,31,18,5,332,300,55,no
1,2,0,267,3,3,1,306,300,153,no
1,3,0,323,9,4,3,310,300,103,no
1,2,0,518,3,3,1,341,300,170,no
1,3,0,256,3,3,1,562,300,187,no
1,2,0,162,7,4,3,308,300,154,no
1,3,0,69,16,8,5,317,300,105,no
1,1,0,48,3,3,3,300,300,300,no
1,1,0,43,3,3,3,300,300,300,no
1,1,0,119,3,3,3,300,300,300,no
1,2,0,130,4,3,2,304,300,152,no
1,1,0,151,3,3,3,300,300,300,no
1,3,0,706,4,3,1,349,300,116,no
1,3,0,302,21,15,7,348,300,116,no
1,1,0,185,3,3,3,300,300,300,no
1,4,0,269,-6,3,-1,400,300,100,no
1,3,0,108,47,45,15,356,300,118,no
1,3,0,143,8,5,2,344,300,114,no
1,1,0,100,3,3,3,300,300,300,no
1,4,0,724,44,40,11,359,300,89,no
1,1,0,82,3,3,3,300,300,300,no
1,2,0,190,4,3,2,339,300,169,no
1,1,0,184,3,3,3,300,300,300,no
1,3,0,75,6,3,2,383,300,127,no
1,1,0,82,3,3,3,300,300,300,no
1,2,0,39,6,3,3,339,300,169,no
1,3,0,259,4,3,1,383,300,127,no
1,1,0,39,3,3,3,300,300,300,no
1,3,0,934,-7,3,-2,352,300,117,no
1,1,0,400,3,3,3,300,300,300,no
1,1,0,62,3,3,3,300,300,300,no
1,1,0,78,3,3,3,300,300,300,no
1,6,0,1453,-5,41,0,390,300,65,yes
1,1,0,232,3,3,3,300,300,300,no
1,1,0,206,3,3,3,300,300,300,no
1,3,0,176,-8,3,-2,356,300,118,no
1,2,0,689,3,3,1,339,300,169,yes
1,1,0,493,3,3,3,300,300,300,no
1,1,0,53,3,3,3,300,300,300,yes
1,2,0,602,3,3,1,306,300,153,no
1,2,0,443,4,3,2,344,300,172,no
1,4,0,97,9,4,2,304,300,76,no
1,2,0,850,7,4,3,307,300,153,no
1,2,0,151,3,3,1,301,300,150,no
1,1,0,93,3,3,3,300,300,300,no
1,1,0,42,3,3,3,300,300,300,no
1,1,0,35,3,3,3,300,300,300,no
1,26,2,144,270,233,10,398,300,15,no
1,26,2,3746,81,41,3,513,300,19,yes
1,3,0,593,10,6,3,348,300,116,no
1,1,0,93,3,3,3,300,300,300,no
1,1,0,171,3,3,3,300,300,300,no
1,1,0,58,3,3,3,300,300,300,no
1,1,0,159,3,3,3,300,300,300,no
1,8,0,313,6,12,0,413,300,51,no
1,1,0,253,3,3,3,300,300,300,yes
1,1,0,115,3,3,3,300,300,300,no
1,1,0,112,3,3,3,300,300,300,no
1,1,0,190,3,3,3,300,300,300,no
1,1,0,403,3,3,3,300,300,300,no
1,0,0,39,0,0,0,0,0,0,no
1,1,0,77,5,5,5,7,7,7,no
1,6,0,921,20,29,3,48,13,8,no
1,0,0,533,0,0,0,0,0,0,no
1,3,1,167,29,25,9,46,44,15,yes
1,8,1,1023,15,8,1,35,25,4,no
1,0,0,124,0,0,0,0,0,0,no
1,1,0,377,1,1,1,4,4,4,yes
1,1,0,430,4,4,4,4,4,4,no
1,0,0,35,0,0,0,0,0,0,no
1,0,0,572,0,0,0,0,0,0,no
1,0,0,488,0,0,0,0,0,0,no
1,0,0,520,0,0,0,0,0,0,no
1,2,0,942,4,3,2,5,4,2,no
1,0,0,71,0,0,0,0,0,0,no
1,0,0,254,0,0,0,0,0,0,no
1,2,0,616,7,7,3,225,222,112,no
1,2,0,112,0,1,0,6,3,3,no
1,0,0,43,0,0,0,0,0,0,no
1,0,0,60,0,0,0,0,0,0,no
1,0,0,124,0,0,0,0,0,0,no
1,1,0,184,4,4,4,4,4,4,no
1,1,0,686,5,5,5,7,7,7,no
1,3,0,122,13,19,4,37,13,12,no
1,12,1,2842,41,34,3,106,44,8,no
1,0,0,33,0,0,0,0,0,0,no
1,1,0,299,1,1,1,44,44,44,no
1,1,0,76,-14,0,-14,13,13,13,no
1,7,1,205,20,23,2,52,44,7,no
1,0,0,68,0,0,0,0,0,0,no
1,1,0,138,2,2,2,11,11,11,no
