@RELATION OPENJPA1TestDataset

@ATTRIBUTE versionname REAL
@ATTRIBUTE #revision REAL
@ATTRIBUTE #fixcommit REAL
@ATTRIBUTE size REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE avgchurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE avgchgsetsize REAL
@ATTRIBUTE buggy {no,yes}
@DATA
2,3,1,176,-6,0,-2,116,99,38,no
2,0,0,78,0,0,0,0,0,0,no
2,0,0,85,0,0,0,0,0,0,no
2,2,2,1013,8,7,4,18,12,9,yes
2,0,0,333,0,0,0,0,0,0,yes
2,0,0,247,0,0,0,0,0,0,no
2,0,0,87,0,0,0,0,0,0,no
2,0,0,46,0,0,0,0,0,0,no
2,0,0,72,0,0,0,0,0,0,no
2,0,0,67,0,0,0,0,0,0,no
2,0,0,164,0,0,0,0,0,0,no
2,0,0,91,0,0,0,0,0,0,no
2,0,0,307,0,0,0,0,0,0,no
2,1,0,707,33,33,33,16,16,16,no
2,0,0,1772,0,0,0,0,0,0,yes
2,3,3,1194,36,35,12,194,99,64,no
2,0,0,71,0,0,0,0,0,0,no
2,3,2,1127,10,6,3,189,99,63,no
2,0,0,142,0,0,0,0,0,0,no
2,0,0,167,0,0,0,0,0,0,no
2,0,0,63,0,0,0,0,0,0,no
2,0,0,230,0,0,0,0,0,0,no
2,1,1,613,-2,0,-2,12,12,12,no
2,0,0,138,0,0,0,0,0,0,no
2,0,0,38,0,0,0,0,0,0,no
2,0,0,163,0,0,0,0,0,0,no
2,4,3,2050,164,150,41,232,99,58,no
2,0,0,96,0,0,0,0,0,0,no
2,0,0,152,0,0,0,0,0,0,yes
2,0,0,136,0,0,0,0,0,0,no
2,0,0,69,0,0,0,0,0,0,no
2,0,0,104,0,0,0,0,0,0,no
2,0,0,269,0,0,0,0,0,0,no
2,0,0,544,0,0,0,0,0,0,no
2,0,0,321,0,0,0,0,0,0,no
2,1,1,368,11,11,11,12,12,12,no
2,1,1,89,0,0,0,99,99,99,no
2,1,1,77,10,10,10,12,12,12,no
2,0,0,82,0,0,0,0,0,0,no
2,0,0,96,0,0,0,0,0,0,no
2,0,0,176,0,0,0,0,0,0,no
2,0,0,81,0,0,0,0,0,0,no
2,0,0,61,0,0,0,0,0,0,no
2,1,1,70,6,6,6,12,12,12,no
2,0,0,51,0,0,0,0,0,0,no
2,0,0,62,0,0,0,0,0,0,no
2,0,0,83,0,0,0,0,0,0,no
2,0,0,66,0,0,0,0,0,0,no
2,0,0,127,0,0,0,0,0,0,no
2,0,0,51,0,0,0,0,0,0,no
2,1,1,265,1,1,1,4,4,4,no
2,0,0,133,0,0,0,0,0,0,no
2,0,0,1578,0,0,0,0,0,0,yes
2,1,1,172,0,0,0,99,99,99,no
2,0,0,95,0,0,0,0,0,0,no
2,0,0,68,0,0,0,0,0,0,no
2,0,0,136,0,0,0,0,0,0,no
2,0,0,404,0,0,0,0,0,0,no
2,0,0,260,0,0,0,0,0,0,no
2,0,0,87,0,0,0,0,0,0,no
2,0,0,98,0,0,0,0,0,0,no
2,0,0,162,0,0,0,0,0,0,no
2,0,0,99,0,0,0,0,0,0,no
2,0,0,152,0,0,0,0,0,0,no
2,0,0,232,0,0,0,0,0,0,no
2,0,0,423,0,0,0,0,0,0,no
2,0,0,176,0,0,0,0,0,0,no
2,0,0,107,0,0,0,0,0,0,no
2,0,0,96,0,0,0,0,0,0,no
2,0,0,113,0,0,0,0,0,0,no
2,0,0,83,0,0,0,0,0,0,no
2,0,0,261,0,0,0,0,0,0,no
2,0,0,89,0,0,0,0,0,0,no
2,0,0,58,0,0,0,0,0,0,no
2,0,0,54,0,0,0,0,0,0,no
2,0,0,55,0,0,0,0,0,0,no
2,1,1,63,12,12,12,12,12,12,no
2,0,0,49,0,0,0,0,0,0,no
2,0,0,84,0,0,0,0,0,0,no
2,0,0,403,0,0,0,0,0,0,no
2,0,0,88,0,0,0,0,0,0,no
2,0,0,97,0,0,0,0,0,0,no
2,0,0,96,0,0,0,0,0,0,no
2,0,0,862,0,0,0,0,0,0,no
2,0,0,170,0,0,0,0,0,0,no
