Dataset;#Training;Classifier;%training;%defective in training;%defective in testing;Feature Selection;Balancing;Precision;Recall;F1;AUPRC;ROC_Area;Kappa
OPENJPA;10;IBK;56;2.835;0.935;Yes;UnderSampling;0.12;0.98;0.22;0.12;0.90;0.18
OPENJPA;11;Naive Bayes;64;2.604;0.485;No;No;0.09;0.44;0.15;0.09;0.91;0.14
OPENJPA;11;Naive Bayes;64;2.604;0.485;Yes;No;0.09;0.44;0.15;0.09;0.83;0.15
OPENJPA;11;Random Forest;64;2.604;0.485;No;No;0.88;0.39;0.54;0.57;0.96;0.54
OPENJPA;11;Random Forest;64;2.604;0.485;Yes;No;0.64;0.39;0.48;0.53;0.95;0.48
OPENJPA;11;IBK;64;2.604;0.485;No;No;0.42;0.61;0.50;0.28;0.93;0.50
OPENJPA;11;IBK;64;2.604;0.485;Yes;No;0.38;0.56;0.45;0.23;0.92;0.45
OPENJPA;11;Naive Bayes;64;2.604;0.485;No;SMOTE;0.09;0.44;0.14;0.09;0.91;0.14
OPENJPA;11;Naive Bayes;64;2.604;0.485;Yes;SMOTE;0.09;0.44;0.15;0.09;0.85;0.14
OPENJPA;11;Random Forest;64;2.604;0.485;No;SMOTE;0.73;0.44;0.55;0.55;0.96;0.55
OPENJPA;11;Random Forest;64;2.604;0.485;Yes;SMOTE;0.57;0.44;0.50;0.52;0.95;0.50
OPENJPA;11;IBK;64;2.604;0.485;No;SMOTE;0.42;0.61;0.50;0.28;0.93;0.50
OPENJPA;11;IBK;64;2.604;0.485;Yes;SMOTE;0.38;0.56;0.45;0.23;0.92;0.45
OPENJPA;11;Naive Bayes;64;2.604;0.485;No;OverSampling;0.20;0.43;0.27;0.17;0.87;0.24
OPENJPA;11;Naive Bayes;64;2.604;0.485;Yes;OverSampling;0.18;0.43;0.26;0.16;0.85;0.23
OPENJPA;11;Random Forest;64;2.604;0.485;No;OverSampling;0.70;1.00;0.82;0.98;1.00;0.82
OPENJPA;11;Random Forest;64;2.604;0.485;Yes;OverSampling;0.67;0.98;0.80;0.96;1.00;0.79
OPENJPA;11;IBK;64;2.604;0.485;No;OverSampling;0.60;1.00;0.75;0.73;0.99;0.74
OPENJPA;11;IBK;64;2.604;0.485;Yes;OverSampling;0.58;0.98;0.73;0.70;0.99;0.72
OPENJPA;11;Naive Bayes;64;2.604;0.485;No;UnderSampling;0.19;0.42;0.26;0.15;0.87;0.23
OPENJPA;11;Naive Bayes;64;2.604;0.485;Yes;UnderSampling;0.17;0.43;0.24;0.13;0.83;0.22
OPENJPA;11;Random Forest;64;2.604;0.485;No;UnderSampling;0.13;0.99;0.23;0.49;0.97;0.20
OPENJPA;11;Random Forest;64;2.604;0.485;Yes;UnderSampling;0.13;0.99;0.23;0.48;0.98;0.20
OPENJPA;11;IBK;64;2.604;0.485;No;UnderSampling;0.12;0.99;0.21;0.12;0.90;0.17
OPENJPA;11;IBK;64;2.604;0.485;Yes;UnderSampling;0.11;0.99;0.20;0.11;0.91;0.17
OPENJPA;12;Naive Bayes;76;2.275;0.535;No;No;0.10;0.45;0.16;0.10;0.88;0.15
OPENJPA;12;Naive Bayes;76;2.275;0.535;Yes;No;0.10;0.45;0.16;0.10;0.82;0.15
OPENJPA;12;Random Forest;76;2.275;0.535;No;No;0.86;0.30;0.44;0.54;0.92;0.44
OPENJPA;12;Random Forest;76;2.275;0.535;Yes;No;0.64;0.35;0.45;0.48;0.91;0.45
OPENJPA;12;IBK;76;2.275;0.535;No;No;0.67;0.50;0.57;0.36;0.92;0.57
OPENJPA;12;IBK;76;2.275;0.535;Yes;No;0.49;0.50;0.49;0.33;0.90;0.49
OPENJPA;12;Naive Bayes;76;2.275;0.535;No;SMOTE;0.09;0.45;0.15;0.10;0.87;0.14
OPENJPA;12;Naive Bayes;76;2.275;0.535;Yes;SMOTE;0.09;0.48;0.15;0.10;0.82;0.15
OPENJPA;12;Random Forest;76;2.275;0.535;No;SMOTE;1.00;0.30;0.46;0.54;0.92;0.46
OPENJPA;12;Random Forest;76;2.275;0.535;Yes;SMOTE;0.57;0.40;0.47;0.42;0.91;0.47
OPENJPA;12;IBK;76;2.275;0.535;No;SMOTE;0.63;0.50;0.56;0.34;0.92;0.55
OPENJPA;12;IBK;76;2.275;0.535;Yes;SMOTE;0.40;0.50;0.44;0.28;0.90;0.44
OPENJPA;12;Naive Bayes;76;2.275;0.535;No;OverSampling;0.17;0.41;0.24;0.15;0.88;0.21
OPENJPA;12;Naive Bayes;76;2.275;0.535;Yes;OverSampling;0.16;0.41;0.23;0.13;0.84;0.20
OPENJPA;12;Random Forest;76;2.275;0.535;No;OverSampling;0.69;1.00;0.82;0.99;1.00;0.81
OPENJPA;12;Random Forest;76;2.275;0.535;Yes;OverSampling;0.57;0.98;0.72;0.96;1.00;0.72
OPENJPA;12;IBK;76;2.275;0.535;No;OverSampling;0.60;1.00;0.75;0.72;1.00;0.74
OPENJPA;12;IBK;76;2.275;0.535;Yes;OverSampling;0.51;0.99;0.67;0.69;0.99;0.66
OPENJPA;12;Naive Bayes;76;2.275;0.535;No;UnderSampling;0.17;0.45;0.25;0.14;0.89;0.22
OPENJPA;12;Naive Bayes;76;2.275;0.535;Yes;UnderSampling;0.15;0.46;0.23;0.12;0.84;0.21
OPENJPA;12;Random Forest;76;2.275;0.535;No;UnderSampling;0.12;0.99;0.22;0.50;0.98;0.19
OPENJPA;12;Random Forest;76;2.275;0.535;Yes;UnderSampling;0.11;0.99;0.20;0.38;0.97;0.17
OPENJPA;12;IBK;76;2.275;0.535;No;UnderSampling;0.10;0.99;0.19;0.11;0.90;0.16
OPENJPA;12;IBK;76;2.275;0.535;Yes;UnderSampling;0.10;0.99;0.17;0.10;0.90;0.14
OPENJPA;13;Naive Bayes;87;2.039;0.396;No;No;0.07;0.40;0.12;0.06;0.81;0.11
OPENJPA;13;Naive Bayes;87;2.039;0.396;Yes;No;0.06;0.37;0.11;0.05;0.77;0.10
OPENJPA;13;Random Forest;87;2.039;0.396;No;No;0.63;0.33;0.43;0.43;0.89;0.43
OPENJPA;13;Random Forest;87;2.039;0.396;Yes;No;0.48;0.43;0.46;0.40;0.90;0.45
OPENJPA;13;IBK;87;2.039;0.396;No;No;0.42;0.33;0.37;0.15;0.80;0.37
OPENJPA;13;IBK;87;2.039;0.396;Yes;No;0.33;0.37;0.35;0.18;0.80;0.35
OPENJPA;13;Naive Bayes;87;2.039;0.396;No;SMOTE;0.06;0.40;0.11;0.06;0.86;0.11
OPENJPA;13;Naive Bayes;87;2.039;0.396;Yes;SMOTE;0.06;0.37;0.10;0.05;0.78;0.09
OPENJPA;13;Random Forest;87;2.039;0.396;No;SMOTE;0.57;0.27;0.36;0.38;0.92;0.36
OPENJPA;13;Random Forest;87;2.039;0.396;Yes;SMOTE;0.41;0.40;0.41;0.36;0.91;0.40
OPENJPA;13;IBK;87;2.039;0.396;No;SMOTE;0.42;0.33;0.37;0.15;0.80;0.37
OPENJPA;13;IBK;87;2.039;0.396;Yes;SMOTE;0.31;0.37;0.33;0.16;0.80;0.33
OPENJPA;13;Naive Bayes;87;2.039;0.396;No;OverSampling;0.15;0.43;0.23;0.14;0.88;0.20
OPENJPA;13;Naive Bayes;87;2.039;0.396;Yes;OverSampling;0.14;0.43;0.22;0.12;0.84;0.19
OPENJPA;13;Random Forest;87;2.039;0.396;No;OverSampling;0.65;1.00;0.79;0.97;1.00;0.78
OPENJPA;13;Random Forest;87;2.039;0.396;Yes;OverSampling;0.55;0.99;0.71;0.94;1.00;0.70
OPENJPA;13;IBK;87;2.039;0.396;No;OverSampling;0.57;1.00;0.72;0.69;1.00;0.72
OPENJPA;13;IBK;87;2.039;0.396;Yes;OverSampling;0.49;0.98;0.65;0.67;0.99;0.64
OPENJPA;13;Naive Bayes;87;2.039;0.396;No;UnderSampling;0.16;0.42;0.23;0.13;0.88;0.20
OPENJPA;13;Naive Bayes;87;2.039;0.396;Yes;UnderSampling;0.14;0.42;0.22;0.10;0.84;0.19
OPENJPA;13;Random Forest;87;2.039;0.396;No;UnderSampling;0.12;1.00;0.21;0.47;0.98;0.18
OPENJPA;13;Random Forest;87;2.039;0.396;Yes;UnderSampling;0.11;0.99;0.19;0.37;0.97;0.17
OPENJPA;13;IBK;87;2.039;0.396;No;UnderSampling;0.10;0.99;0.18;0.10;0.91;0.15
OPENJPA;13;IBK;87;2.039;0.396;Yes;UnderSampling;0.09;0.99;0.17;0.09;0.90;0.14
