FileName;Version Name;#Revision;#FixCommit;Size;Churn;MaxChurn;AvgChurn;ChgSetSize;MaxChgSetSize;AvgChgSetSize;Buggy
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java;1;3;3;154;18;8;6.00;38;16;12.67;yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java;1;9;7;393;114;59;12.67;108;26;12.00;yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java;1;0;0;132;0;0;0;0;0;0;no
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java;1;4;0;533;-4;0;-1.00;49;26;12.25;yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java;1;10;7;603;91;43;9.10;80;26;8.00;yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java;1;0;0;148;0;0;0;0;0;0;no
bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java;1;0;0;174;0;0;0;0;0;0;no
bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java;1;0;0;148;0;0;0;0;0;0;no
bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java;1;1;0;92;0;0;0.00;26;26;26.00;no
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java;1;3;2;234;22;19;7.33;40;26;13.33;yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java;1;0;0;54;0;0;0;0;0;0;no
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java;1;0;0;38;0;0;0;0;0;0;no
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java;1;0;0;98;0;0;0;0;0;0;yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java;1;0;0;39;0;0;0;0;0;0;no
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java;1;0;0;69;0;0;0;0;0;0;yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java;1;0;0;94;0;0;0;0;0;0;no
bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java;1;2;2;261;-261;0;-130.50;32;20;16.00;yes
bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java;1;8;6;90;93;60;11.63;52;20;6.50;yes
bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java;1;0;0;71;0;0;0;0;0;0;no
bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java;1;6;6;617;117;150;19.50;75;20;12.50;yes
bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCacheTest.java;1;3;3;139;-139;1;-46.33;24;9;8.00;yes
bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java;1;4;4;345;35;31;8.75;48;20;12.00;yes
bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalAsyncLedgerOpsTest.java;1;0;0;47;0;0;0;0;0;0;no
bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieFailureTest.java;1;0;0;47;0;0;0;0;0;0;no
bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieReadWriteTest.java;1;0;0;46;0;0;0;0;0;0;no
bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieRecoveryTest.java;1;0;0;46;0;0;0;0;0;0;no
bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalLedgerDeleteTest.java;1;1;1;47;-4;0;-4.00;12;12;12.00;yes
bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java;1;1;1;136;-2;0;-2.00;12;12;12.00;yes
bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java;1;1;1;260;0;0;0.00;12;12;12.00;yes
bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java;1;1;1;112;0;0;0.00;5;5;5.00;yes
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java;1;0;0;258;0;0;0;0;0;0;no
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java;1;7;6;257;-208;30;-29.71;71;20;10.14;yes
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java;1;2;2;242;1;1;0.50;17;15;8.50;yes
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java;1;2;2;305;53;76;26.50;32;20;16.00;yes
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java;1;3;2;219;40;39;13.33;22;12;7.33;yes
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java;1;2;2;1040;127;126;63.50;23;16;11.50;yes
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java;1;2;2;92;0;1;0.00;32;20;16.00;yes
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/CloseTest.java;1;1;1;75;25;25;25.00;10;10;10.00;yes
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java;1;2;2;188;-3;1;-1.50;15;8;7.50;yes
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java;1;0;0;118;0;0;0;0;0;0;no
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java;1;1;1;55;12;12;12.00;4;4;4.00;no
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java;1;1;1;154;0;0;0.00;12;12;12.00;yes
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerRecoveryTest.java;1;2;2;114;38;39;19.00;18;12;9.00;no
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java;1;0;0;120;0;0;0;0;0;0;no
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java;1;1;0;63;1;1;1.00;26;26;26.00;yes
hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java;1;0;0;71;0;0;0;0;0;0;no
hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java;1;0;0;41;0;0;0;0;0;0;no
hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java;1;0;0;48;0;0;0;0;0;0;no
hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java;1;0;0;63;0;0;0;0;0;0;yes
hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java;1;3;1;237;81;47;27.00;39;27;13.00;yes
hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java;1;1;1;133;3;3;3.00;37;37;37.00;yes
hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java;1;1;1;137;4;4;4.00;37;37;37.00;yes
hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java;1;1;1;177;13;13;13.00;37;37;37.00;yes
hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java;1;0;0;46;0;0;0;0;0;0;no
hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java;1;1;0;128;37;37;37.00;8;8;8.00;no
hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java;1;1;0;149;13;13;13.00;27;27;27.00;no
hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java;1;0;0;58;0;0;0;0;0;0;no
hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java;1;1;0;149;-1;0;-1.00;27;27;27.00;yes
hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java;1;0;0;74;0;0;0;0;0;0;no
hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java;1;0;0;37;0;0;0;0;0;0;no
hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java;1;0;0;38;0;0;0;0;0;0;no
hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java;1;0;0;39;0;0;0;0;0;0;no
hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java;1;0;0;96;0;0;0;0;0;0;yes
hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java;1;0;0;88;0;0;0;0;0;0;no
hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java;1;0;0;71;0;0;0;0;0;0;no
hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java;1;1;1;114;0;0;0.00;10;10;10.00;no
hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java;1;1;1;336;6;6;6.00;37;37;37.00;yes
hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java;1;0;0;84;0;0;0;0;0;0;no
hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java;1;0;0;58;0;0;0;0;0;0;no
hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java;1;1;1;123;6;6;6.00;6;6;6.00;yes
hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java;1;1;1;369;-6;0;-6.00;6;6;6.00;yes
hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java;1;1;1;231;11;11;11.00;6;6;6.00;yes
hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java;1;4;3;586;96;37;24.00;45;27;11.25;yes
hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java;1;1;1;366;0;0;0.00;10;10;10.00;yes
hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java;1;1;1;99;4;4;4.00;6;6;6.00;yes
hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java;1;0;0;41;0;0;0;0;0;0;no
hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java;1;0;0;66;0;0;0;0;0;0;no
hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java;1;1;1;54;9;9;9.00;8;8;8.00;no
hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java;1;0;0;47;0;0;0;0;0;0;no
hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java;1;0;0;183;0;0;0;0;0;0;no
hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java;1;0;0;49;0;0;0;0;0;0;no
hedwig-client/src/main/java/org/apache/hedwig/util/Either.java;1;0;0;50;0;0;0;0;0;0;no
hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java;1;0;0;98;0;0;0;0;0;0;no
hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java;1;1;1;138;5;5;5.00;37;37;37.00;yes
hedwig-client/src/main/java/org/apache/hedwig/util/Option.java;1;0;0;43;0;0;0;0;0;0;no
hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java;1;0;0;42;0;0;0;0;0;0;no
hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java;1;1;1;56;0;0;0.00;37;37;37.00;yes
hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java;1;0;0;51;0;0;0;0;0;0;no
hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java;1;0;0;41;0;0;0;0;0;0;no
hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java;1;0;0;104;0;0;0;0;0;0;no
hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java;1;0;0;54;0;0;0;0;0;0;no
hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java;1;0;0;162;0;0;0;0;0;0;yes
hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java;1;1;0;6367;156;156;156.00;27;27;27.00;yes
hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java;1;0;0;153;0;0;0;0;0;0;no
hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java;1;1;1;43;0;0;0.00;37;37;37.00;yes
hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java;1;0;0;41;0;0;0;0;0;0;no
hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java;1;0;0;105;0;0;0;0;0;0;no
hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java;1;0;0;105;0;0;0;0;0;0;no
hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java;1;0;0;92;0;0;0;0;0;0;no
hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java;1;0;0;101;0;0;0;0;0;0;no
hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java;1;0;0;45;0;0;0;0;0;0;yes
hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java;1;2;2;289;10;8;5.00;8;6;4.00;yes
hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java;1;1;1;32;0;0;0.00;37;37;37.00;yes
hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java;1;0;0;111;0;0;0;0;0;0;no
hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java;1;0;0;35;0;0;0;0;0;0;no
hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java;1;1;1;81;4;4;4.00;37;37;37.00;yes
hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java;1;0;0;27;0;0;0;0;0;0;no
hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java;1;0;0;28;0;0;0;0;0;0;no
hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java;1;2;2;29;7;5;3.50;50;37;25.00;yes
hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java;1;2;1;566;8;5;4.00;54;37;27.00;yes
hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java;1;1;0;64;3;3;3.00;17;17;17.00;no
hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java;1;0;0;29;0;0;0;0;0;0;no
hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java;1;1;0;64;8;8;8.00;17;17;17.00;no
hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java;1;0;0;37;0;0;0;0;0;0;no
hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java;1;1;0;68;9;9;9.00;17;17;17.00;no
hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java;1;1;0;154;14;14;14.00;17;17;17.00;yes
hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java;1;1;0;72;9;9;9.00;17;17;17.00;no
hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java;1;3;2;385;51;53;17.00;67;37;22.33;yes
hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java;1;0;0;76;0;0;0;0;0;0;no
hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java;1;1;0;159;1;1;1.00;17;17;17.00;no
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java;1;3;2;737;169;131;56.33;39;27;13.00;yes
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java;1;0;0;74;0;0;0;0;0;0;no
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java;1;0;0;94;0;0;0;0;0;0;no
