@RELATION OPENJPA5TestDataset

@ATTRIBUTE REAL REAL
@ATTRIBUTE #revision REAL
@ATTRIBUTE #fixcommit REAL
@ATTRIBUTE size REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE avgchurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE avgchgsetsize REAL
@ATTRIBUTE buggy {no,yes}

@DATA
6,4,1,76,0,0,0,0,0,0,no
6,3,0,72,0,0,0,0,0,0,no
6,0,0,197,0,0,0,0,0,0,no
6,1,1,170,0,0,0,0,0,0,no
6,0,0,120,0,0,0,0,0,0,no
6,7,4,243,0,0,0,0,0,0,no
6,5,2,312,0,0,0,0,0,0,no
6,2,0,152,0,0,0,0,0,0,no
6,1,0,53,0,0,0,0,0,0,no
6,4,0,605,0,0,0,0,0,0,no
6,14,5,859,0,0,0,0,0,0,no
6,6,0,51,0,0,0,0,0,0,no
6,1,0,61,0,0,0,0,0,0,no
6,3,0,162,0,0,0,0,0,0,no
6,4,2,68,0,0,0,0,0,0,no
6,3,0,146,0,0,0,0,0,0,no
6,6,1,219,0,0,0,0,0,0,no
6,7,1,369,-6,0,-6.00,2,2,2.00,no
6,3,3,62,10,17,3.33,7,3,2.33,no
6,3,3,64,10,17,3.33,7,3,2.33,no
6,5,5,250,23,26,4.60,14,7,2.80,yes
6,6,0,265,0,0,0,0,0,0,no
6,1,0,35,0,0,0,0,0,0,no
6,0,0,545,0,0,0,0,0,0,no
6,6,2,297,0,0,0,0,0,0,yes
6,1,0,45,0,0,0,0,0,0,no
6,1,0,129,0,0,0,0,0,0,no
6,1,0,61,0,0,0,0,0,0,no
6,0,0,65,0,0,0,0,0,0,no
6,6,0,161,0,0,0,0,0,0,no
6,6,2,244,0,0,0,0,0,0,yes
6,9,2,382,0,0,0,0,0,0,yes
6,1,0,49,0,0,0,0,0,0,no
6,1,0,41,0,0,0,0,0,0,no
6,3,0,97,0,0,0,0,0,0,no
6,17,3,1422,19,19,19.00,5,5,5.00,no
6,15,5,674,283,134,94.33,23,11,7.67,yes
6,1,0,46,0,0,0,0,0,0,no
6,2,0,465,7,7,7.00,12,12,12.00,no
6,6,0,374,0,0,0,0,0,0,no
6,4,0,221,0,0,0,0,0,0,no
6,5,2,460,0,0,0,0,0,0,no
6,4,0,213,0,0,0,0,0,0,no
6,1,0,47,0,0,0,0,0,0,no
6,8,2,162,0,0,0,0,0,0,no
6,3,1,80,2,2,2.00,2,2,2.00,no
6,1,0,131,0,0,0,0,0,0,no
6,9,1,395,0,0,0,0,0,0,no
6,1,0,159,0,0,0,0,0,0,no
6,16,4,740,38,36,19.00,21,17,10.50,yes
6,1,0,43,0,0,0,0,0,0,no
6,3,0,206,0,0,0,0,0,0,no
6,3,1,55,4,4,4.00,6,6,6.00,yes
6,4,1,85,4,4,4.00,11,11,11.00,yes
6,2,0,166,0,0,0,0,0,0,no
6,2,1,37,0,0,0.00,4,4,4.00,yes
6,2,0,84,0,0,0,0,0,0,no
6,2,1,37,0,0,0.00,4,4,4.00,yes
6,3,1,197,4,4,4.00,11,11,11.00,yes
6,1,0,44,0,0,0,0,0,0,no
6,3,0,49,0,0,0,0,0,0,no
6,2,0,73,0,0,0,0,0,0,no
6,2,0,75,0,0,0,0,0,0,no
